p,kNN_graph,target,edge_metrics,fw_source,K,mu_used,RMSE_scaled,RelRMSE_scaled_pct,RMSE_orig,RelRMSE_orig_pct,R2,best_epoch,best_lr,source_file
2.0,2.0,BFP,l2,none,10.0,0.02,0.2330736015058172,25.148885532299307,2.1018892607799384,6.387099822701733,0.9322954060785198,157,0.0099867304449397,PGNN_ALL_RESULTS_May12/penn_data_pgnn_target-BFP_l2_fw-none_80pct_knn2/bfp/results_knn2_l2_fw-none_K10_p2.0_mu0.02.csv
2.0,5.0,BFP,l2,none,10.0,0.02,0.2379300547970667,25.67290192508475,2.145685251406124,6.520184552322434,0.9294445489167578,112,0.0096329612111306,PGNN_ALL_RESULTS_May12/penn_data_pgnn_target-BFP_l2_fw-none_80pct_knn5/bfp/results_knn5_l2_fw-none_K10_p2.0_mu0.02.csv
2.0,10.0,BFP,l2,none,10.0,0.02,0.2804984326927446,28.645108452743777,2.1554916796770227,8.217450227004626,0.9179355214296024,99,0.0093723997248121,PGNN_ALL_RESULTS_May12/male_pgnn_target-BFP_l2_fw-none_80pct_knn10/bfp/results_knn10_l2_fw-none_K10_p2.0_mu0.02.csv
2.0,15.0,BFP,l2,none,5.0,0.0282842712474619,0.2469036963403986,26.641167239230622,2.2266107790306107,6.7660963768828815,0.9240221242627208,97,0.0093284929847445,PGNN_ALL_RESULTS_May12/penn_data_pgnn_target-BFP_l2_fw-none_80pct_knn15/bfp/results_knn15_l2_fw-none_K5_p2.0_mu0.0283.csv
2.0,20.0,BFP,l2,none,10.0,0.02,0.2262344757936386,24.41093671027327,2.040212945942093,6.199681395424776,0.936210449950859,135,0.0099395558543473,PGNN_ALL_RESULTS_May12/penn_data_pgnn_target-BFP_l2_fw-none_80pct_knn20/bfp/results_knn20_l2_fw-none_K10_p2.0_mu0.02.csv
2.0,25.0,BFP,l2,none,5.0,0.0282842712474619,0.2355310836365982,25.41405042615855,2.124051170497028,6.454444155377103,0.9308601514418728,133,0.0099225890737155,PGNN_ALL_RESULTS_May12/penn_data_pgnn_target-BFP_l2_fw-none_80pct_knn25/bfp/results_knn25_l2_fw-none_K5_p2.0_mu0.0283.csv
2.0,30.0,BFP,l2,none,5.0,0.0282842712474619,0.2395901095770692,25.85202357322468,2.160655860372578,6.565676375159902,0.9284565735909114,130,0.0098933973470633,PGNN_ALL_RESULTS_May12/penn_data_pgnn_target-BFP_l2_fw-none_80pct_knn30/bfp/results_knn30_l2_fw-none_K5_p2.0_mu0.0283.csv
2.0,35.0,BFP,l2,none,10.0,0.02,0.2308346657938775,24.907302025759016,2.081698019294807,6.32574384295713,0.9335899169416852,181,0.0097503332389233,PGNN_ALL_RESULTS_May12/penn_data_pgnn_target-BFP_l2_fw-none_80pct_knn35/bfp/results_knn35_l2_fw-none_K10_p2.0_mu0.02.csv
2.0,40.0,BFP,l2,none,5.0,0.0282842712474619,0.2315802978701967,24.98775650715636,2.0884223938698674,6.346177484470771,0.9331601941133164,186,0.0096683692864933,PGNN_ALL_RESULTS_May12/penn_data_pgnn_target-BFP_l2_fw-none_80pct_knn40/bfp/results_knn40_l2_fw-none_K5_p2.0_mu0.0283.csv
3.0,2.0,BFP,l2,none,10.0,0.01,0.2406155227546575,25.962666728261848,2.169903166133364,6.593776554406865,0.9278428707871552,60,0.0084665398864587,PGNN_ALL_RESULTS_May12/penn_data_pgnn_target-BFP_l2_fw-none_80pct_knn2/bfp/results_knn2_l2_fw-none_K10_p3.0_mu0.01.csv
3.0,5.0,BFP,l2,none,15.0,0.0081649658092772,0.2303120662707306,24.850912990270043,2.0769851232702194,6.311422566415717,0.9338902755670188,134,0.0099313251441108,PGNN_ALL_RESULTS_May12/penn_data_pgnn_target-BFP_l2_fw-none_80pct_knn5/bfp/results_knn5_l2_fw-none_K15_p3.0_mu0.00816.csv
3.0,10.0,BFP,l2,none,10.0,0.01,0.2251588103409704,24.29487128216202,2.0305124775630548,6.17020417175749,0.9368156016810738,187,0.0096508436642295,PGNN_ALL_RESULTS_May12/penn_data_pgnn_target-BFP_l2_fw-none_80pct_knn10/bfp/results_knn10_l2_fw-none_K10_p3.0_mu0.01.csv
3.0,15.0,BFP,l2,none,15.0,0.0081649658092772,0.23516128396796,25.374148654888103,2.1207160515752204,6.444309588408403,0.9310770894445748,137,0.0099544836035988,PGNN_ALL_RESULTS_May12/penn_data_pgnn_target-BFP_l2_fw-none_80pct_knn15/bfp/results_knn15_l2_fw-none_K15_p3.0_mu0.00816.csv
3.0,20.0,BFP,l2,none,15.0,0.0081649658092772,0.2711749810450172,27.69297734441915,2.083845318813818,7.944310502137949,0.9233003162192446,104,0.0094781926034759,PGNN_ALL_RESULTS_May12/male_pgnn_target-BFP_l2_fw-none_80pct_knn20/bfp/results_knn20_l2_fw-none_K15_p3.0_mu0.00816.csv
3.0,25.0,BFP,l2,none,15.0,0.0081649658092772,0.2407796583175067,25.980377127274025,2.171383327516103,6.598274383422727,0.9277443934286482,88,0.009122513696999,PGNN_ALL_RESULTS_May12/penn_data_pgnn_target-BFP_l2_fw-none_80pct_knn25/bfp/results_knn25_l2_fw-none_K15_p3.0_mu0.00816.csv
3.0,30.0,BFP,l2,none,15.0,0.0081649658092772,0.269378415751845,27.50950819925738,2.070039535806406,7.891678271738788,0.9243132380768933,142,0.0099826802054872,PGNN_ALL_RESULTS_May12/male_pgnn_target-BFP_l2_fw-none_80pct_knn30/bfp/results_knn30_l2_fw-none_K15_p3.0_mu0.00816.csv
3.0,35.0,BFP,l2,none,15.0,0.0081649658092772,0.2390945104888429,25.79854791292171,2.1561863230509832,6.552094603005205,0.928752246773675,128,0.0098715031251188,PGNN_ALL_RESULTS_May12/penn_data_pgnn_target-BFP_l2_fw-none_80pct_knn35/bfp/results_knn35_l2_fw-none_K15_p3.0_mu0.00816.csv
3.0,40.0,BFP,l2,none,10.0,0.01,0.2882265423409496,29.434319775182846,2.214878031661071,8.44385072587615,0.9133512543456486,94,0.0092611971691567,PGNN_ALL_RESULTS_May12/male_pgnn_target-BFP_l2_fw-none_80pct_knn40/bfp/results_knn40_l2_fw-none_K10_p3.0_mu0.01.csv
5.0,2.0,BFP,l2,none,15.0,0.0024494897427831,0.2402232740466757,25.920342682151546,2.166365763742762,6.583027300103404,0.9280779385028656,96,0.0093062416663153,PGNN_ALL_RESULTS_May12/penn_data_pgnn_target-BFP_l2_fw-none_80pct_knn2/bfp/results_knn2_l2_fw-none_K15_p5.0_mu0.00245.csv
5.0,5.0,BFP,l2,none,30.0,0.0017320508075688,0.2403726400219015,25.936459427201623,2.167712876152327,6.587120827575493,0.9279884713294784,95,0.0092838061109327,PGNN_ALL_RESULTS_May12/penn_data_pgnn_target-BFP_l2_fw-none_80pct_knn5/bfp/results_knn5_l2_fw-none_K30_p5.0_mu0.00173.csv
5.0,10.0,BFP,l2,none,15.0,0.0024494897427831,0.2412694671151607,26.033228009164247,2.17580041551369,6.6116967755975535,0.9274501208165828,77,0.0088609061729741,PGNN_ALL_RESULTS_May12/penn_data_pgnn_target-BFP_l2_fw-none_80pct_knn10/bfp/results_knn10_l2_fw-none_K15_p5.0_mu0.00245.csv
5.0,15.0,BFP,l2,none,30.0,0.0017320508075688,0.2267367635707247,24.46513408710444,2.044742671811623,6.21344606506652,0.9359268832688332,186,0.0096683692864933,PGNN_ALL_RESULTS_May12/penn_data_pgnn_target-BFP_l2_fw-none_80pct_knn15/bfp/results_knn15_l2_fw-none_K30_p5.0_mu0.00173.csv
5.0,20.0,BFP,l2,none,30.0,0.0017320508075688,0.2318007981424572,25.01154871730412,2.09041072542907,6.352219511701331,0.9330328498439416,86,0.0090753945490454,PGNN_ALL_RESULTS_May12/penn_data_pgnn_target-BFP_l2_fw-none_80pct_knn20/bfp/results_knn20_l2_fw-none_K30_p5.0_mu0.00173.csv
5.0,25.0,BFP,l2,none,30.0,0.0017320508075688,0.219176590748658,23.64938352728908,1.9765640052583768,6.006268666532834,0.940128478058388,158,0.0099826802054872,PGNN_ALL_RESULTS_May12/penn_data_pgnn_target-BFP_l2_fw-none_80pct_knn25/bfp/results_knn25_l2_fw-none_K30_p5.0_mu0.00173.csv
5.0,30.0,BFP,l2,none,15.0,0.0024494897427831,0.2696834348344066,27.540657409669205,2.072383573713439,7.900614522809885,0.924141739727354,143,0.0099867304449397,PGNN_ALL_RESULTS_May12/male_pgnn_target-BFP_l2_fw-none_80pct_knn30/bfp/results_knn30_l2_fw-none_K15_p5.0_mu0.00245.csv
5.0,35.0,BFP,l2,none,30.0,0.0017320508075688,0.2926540974595994,29.886471308924754,2.248901703552991,8.573560264051533,0.9106687204701738,53,0.0083173156107196,PGNN_ALL_RESULTS_May12/male_pgnn_target-BFP_l2_fw-none_80pct_knn35/bfp/results_knn35_l2_fw-none_K30_p5.0_mu0.00173.csv
5.0,40.0,BFP,l2,none,30.0,0.0017320508075688,0.2446417787201863,26.397103960735357,2.2062125332041256,6.704111364288344,0.9254078345778092,108,0.00955804983431,PGNN_ALL_RESULTS_May12/penn_data_pgnn_target-BFP_l2_fw-none_80pct_knn40/bfp/results_knn40_l2_fw-none_K30_p5.0_mu0.00173.csv
10.0,2.0,BFP,l2,none,40.0,5e-05,0.2377098418023712,25.64914071248692,2.1436993328128544,6.514149857473543,0.9295750917945922,136,0.0099472767389608,PGNN_ALL_RESULTS_May12/penn_data_pgnn_target-BFP_l2_fw-none_80pct_knn2/bfp/results_knn2_l2_fw-none_K40_p10.0_mu5e-05.csv
10.0,5.0,BFP,l2,none,40.0,5e-05,0.229656883254511,24.78021805711948,2.0710767091632385,6.29346841849779,0.9342658734276916,119,0.0097503332389233,PGNN_ALL_RESULTS_May12/penn_data_pgnn_target-BFP_l2_fw-none_80pct_knn5/bfp/results_knn5_l2_fw-none_K40_p10.0_mu5e-05.csv
10.0,10.0,BFP,l2,none,80.0,3.535533905932738e-05,0.2662179653618144,27.186756149226824,2.0457532134299363,7.799090744165714,0.9260787918445136,77,0.0088609061729741,PGNN_ALL_RESULTS_May12/male_pgnn_target-BFP_l2_fw-none_80pct_knn10/bfp/results_knn10_l2_fw-none_K80_p10.0_mu3.54e-05.csv
10.0,15.0,BFP,l2,none,40.0,5e-05,0.2913330564308783,29.855045833148196,2.154247310508193,6.118550142961222,0.910698226767789,89,0.0091459335569017,PGNN_ALL_RESULTS_May12/female_pgnn_target-BFP_l2_fw-none_80pct_knn15/bfp/results_knn15_l2_fw-none_K40_p10.0_mu5e-05.csv
