p,kNN_graph,target,edge_metrics,fw_source,K,mu_used,RMSE_scaled,RelRMSE_scaled_pct,RMSE_orig,RelRMSE_orig_pct,R2,best_epoch,best_lr,source_file
2.0,2.0,BMD,l2,none,10.0,0.02,0.3639958526802282,39.39693929984444,0.0706353909956841,6.610736494192613,0.8435147311215547,77,0.0088609061729741,PGNN_ALL_RESULTS_May12/male_pgnn_target-BMD_l2_fw-none_80pct_knn2/bmd/results_knn2_l2_fw-none_K10_p2.0_mu0.02.csv
2.0,5.0,BMD,l2,none,10.0,0.02,0.3720698484858409,40.27082486837141,0.072202189580122,6.757372513830791,0.8364955622625433,75,0.0088132107555243,PGNN_ALL_RESULTS_May12/male_pgnn_target-BMD_l2_fw-none_80pct_knn5/bmd/results_knn5_l2_fw-none_K10_p2.0_mu0.02.csv
2.0,10.0,BMD,l2,none,5.0,0.0282842712474619,0.3662762141566998,39.64375327315962,0.0710778991953738,6.652150650232994,0.841547891383006,37,0.008025638531605,PGNN_ALL_RESULTS_May12/male_pgnn_target-BMD_l2_fw-none_80pct_knn10/bmd/results_knn10_l2_fw-none_K5_p2.0_mu0.0283.csv
2.0,15.0,BMD,l2,none,10.0,0.02,0.3565402409263531,38.58998427124233,0.0691885860387379,6.475330627614379,0.8498595556335599,38,0.008041467058907,PGNN_ALL_RESULTS_May12/male_pgnn_target-BMD_l2_fw-none_80pct_knn15/bmd/results_knn15_l2_fw-none_K10_p2.0_mu0.02.csv
2.0,20.0,BMD,l2,none,10.0,0.02,0.3801435559857571,41.14467923225158,0.0737689372021947,6.904003763922657,0.8293226640268818,23,0.0078435994062494,PGNN_ALL_RESULTS_May12/male_pgnn_target-BMD_l2_fw-none_80pct_knn20/bmd/results_knn20_l2_fw-none_K10_p2.0_mu0.02.csv
2.0,25.0,BMD,l2,none,10.0,0.02,0.3636625833205557,39.36086802969991,0.0705707127466378,6.604683284104532,0.8438011512567296,48,0.0082179672183702,PGNN_ALL_RESULTS_May12/male_pgnn_target-BMD_l2_fw-none_80pct_knn25/bmd/results_knn25_l2_fw-none_K10_p2.0_mu0.02.csv
2.0,30.0,BMD,l2,none,10.0,0.02,0.3670495484725598,39.72745479029528,0.0712279774748891,6.666196413205242,0.8408780918904578,62,0.0085109993808483,PGNN_ALL_RESULTS_May12/male_pgnn_target-BMD_l2_fw-none_80pct_knn30/bmd/results_knn30_l2_fw-none_K10_p2.0_mu0.02.csv
2.0,35.0,BMD,l2,none,10.0,0.02,0.5075084056780397,53.96465839775478,0.0733933785476608,7.319392576484832,0.7069059640117089,30,0.0079250757223036,PGNN_ALL_RESULTS_May12/female_pgnn_target-BMD_l2_fw-none_80pct_knn35/bmd/results_knn35_l2_fw-none_K10_p2.0_mu0.02.csv
2.0,40.0,BMD,l2,none,10.0,0.02,0.3635605846483131,39.34982824595124,0.0705509177463651,6.602830678365953,0.8438887590647632,38,0.008041467058907,PGNN_ALL_RESULTS_May12/male_pgnn_target-BMD_l2_fw-none_80pct_knn40/bmd/results_knn40_l2_fw-none_K10_p2.0_mu0.02.csv
3.0,2.0,BMD,l2,none,15.0,0.0081649658092772,0.5042824406807236,53.62163334213882,0.0729268615716846,7.272867658865094,0.7106202120169351,22,0.007833601469858,PGNN_ALL_RESULTS_May12/female_pgnn_target-BMD_l2_fw-none_80pct_knn2/bmd/results_knn2_l2_fw-none_K15_p3.0_mu0.00816.csv
3.0,5.0,BMD,l2,none,10.0,0.01,0.501557739570431,53.33190894938423,0.0725328233355211,7.233570918509246,0.7137388743215952,28,0.0078997831519332,PGNN_ALL_RESULTS_May12/female_pgnn_target-BMD_l2_fw-none_80pct_knn5/bmd/results_knn5_l2_fw-none_K10_p3.0_mu0.01.csv
3.0,10.0,BMD,l2,none,10.0,0.01,0.3641494113363473,39.41355965694341,0.0706651840637063,6.613524814881045,0.8433826706263414,121,0.0097803165985576,PGNN_ALL_RESULTS_May12/male_pgnn_target-BMD_l2_fw-none_80pct_knn10/bmd/results_knn10_l2_fw-none_K10_p3.0_mu0.01.csv
3.0,15.0,BMD,l2,none,10.0,0.01,0.4974078499451475,52.890640640305456,0.0719326922750615,7.173720903211283,0.7184563272625055,18,0.007797851601572,PGNN_ALL_RESULTS_May12/female_pgnn_target-BMD_l2_fw-none_80pct_knn15/bmd/results_knn15_l2_fw-none_K10_p3.0_mu0.01.csv
3.0,20.0,BMD,l2,none,10.0,0.01,0.3636754537108475,39.36226105102518,0.0705732080853379,6.604916821802527,0.8437900949874698,41,0.0080910258923681,PGNN_ALL_RESULTS_May12/male_pgnn_target-BMD_l2_fw-none_80pct_knn20/bmd/results_knn20_l2_fw-none_K10_p3.0_mu0.01.csv
3.0,25.0,BMD,l2,none,15.0,0.0081649658092772,0.3576697641371406,38.712237744861575,0.0694077842591129,6.495845296740849,0.8489067557856211,61,0.0084886799280466,PGNN_ALL_RESULTS_May12/male_pgnn_target-BMD_l2_fw-none_80pct_knn25/bmd/results_knn25_l2_fw-none_K15_p3.0_mu0.00816.csv
3.0,30.0,BMD,l2,none,15.0,0.0081649658092772,0.3639709252898643,39.39424129414509,0.0706305494029798,6.610283371570529,0.8435361634306724,39,0.0080576450044444,PGNN_ALL_RESULTS_May12/male_pgnn_target-BMD_l2_fw-none_80pct_knn30/bmd/results_knn30_l2_fw-none_K15_p3.0_mu0.00816.csv
3.0,35.0,BMD,l2,none,15.0,0.0081649658092772,0.3514704324478623,38.04125566508316,0.0682047608981845,6.383254847061855,0.8540990293570281,52,0.0082969208501282,PGNN_ALL_RESULTS_May12/male_pgnn_target-BMD_l2_fw-none_80pct_knn35/bmd/results_knn35_l2_fw-none_K15_p3.0_mu0.00816.csv
3.0,40.0,BMD,l2,none,10.0,0.01,0.3774439741030332,40.85249111311368,0.0732450771381681,6.854975921161487,0.8317381799910738,51,0.0082767809973118,PGNN_ALL_RESULTS_May12/male_pgnn_target-BMD_l2_fw-none_80pct_knn40/bmd/results_knn40_l2_fw-none_K10_p3.0_mu0.01.csv
5.0,2.0,BMD,l2,none,30.0,0.0017320508075688,0.3613152936075641,39.10681010661934,0.0701152242958134,6.562054311827279,0.8458110400987613,49,0.0082372966913313,PGNN_ALL_RESULTS_May12/male_pgnn_target-BMD_l2_fw-none_80pct_knn2/bmd/results_knn2_l2_fw-none_K30_p5.0_mu0.00173.csv
5.0,5.0,BMD,l2,none,15.0,0.0024494897427831,0.3696904572335243,40.01329244857089,0.0717404442781723,6.714157965491879,0.8385801013315698,10,0.0077472740168893,PGNN_ALL_RESULTS_May12/male_pgnn_target-BMD_l2_fw-none_80pct_knn5/bmd/results_knn5_l2_fw-none_K15_p5.0_mu0.00245.csv
5.0,10.0,BMD,l2,none,30.0,0.0017320508075688,0.3628491162536827,39.27282276099689,0.0704128646626805,6.589910348406918,0.8444991637203529,37,0.008025638531605,PGNN_ALL_RESULTS_May12/male_pgnn_target-BMD_l2_fw-none_80pct_knn10/bmd/results_knn10_l2_fw-none_K30_p5.0_mu0.00173.csv
5.0,15.0,BMD,l2,none,30.0,0.0017320508075688,0.3763364034285467,40.73261366310501,0.0730301409575726,6.834860134542959,0.8327242252870966,42,0.0081082168258816,PGNN_ALL_RESULTS_May12/male_pgnn_target-BMD_l2_fw-none_80pct_knn15/bmd/results_knn15_l2_fw-none_K30_p5.0_mu0.00173.csv
5.0,20.0,BMD,l2,none,15.0,0.0024494897427831,0.3741352173288386,40.49436920367145,0.0726029920599834,6.794883449117382,0.834675289779551,60,0.0084665398864587,PGNN_ALL_RESULTS_May12/male_pgnn_target-BMD_l2_fw-none_80pct_knn20/bmd/results_knn20_l2_fw-none_K15_p5.0_mu0.00245.csv
5.0,25.0,BMD,l2,none,15.0,0.0024494897427831,0.3684334868947495,39.87724478820943,0.0714965271655217,6.691329865648045,0.8396759104575916,43,0.0081257331606513,PGNN_ALL_RESULTS_May12/male_pgnn_target-BMD_l2_fw-none_80pct_knn25/bmd/results_knn25_l2_fw-none_K15_p5.0_mu0.00245.csv
5.0,30.0,BMD,l2,none,15.0,0.0024494897427831,0.367918823267669,39.82154038518773,0.0713966483934021,6.68198225343073,0.8401235100884641,28,0.0078997831519332,PGNN_ALL_RESULTS_May12/male_pgnn_target-BMD_l2_fw-none_80pct_knn30/bmd/results_knn30_l2_fw-none_K15_p5.0_mu0.00245.csv
5.0,35.0,BMD,l2,none,30.0,0.0017320508075688,0.3635509914274166,39.34878992768863,0.0705490563402082,6.602656470147685,0.843896997525825,45,0.0081617163535314,PGNN_ALL_RESULTS_May12/male_pgnn_target-BMD_l2_fw-none_80pct_knn35/bmd/results_knn35_l2_fw-none_K30_p5.0_mu0.00173.csv
5.0,40.0,BMD,l2,none,30.0,0.0017320508075688,0.3723145148018215,40.29730622503641,0.0722496689496195,6.761816088025454,0.8362804565153366,46,0.0081801699963272,PGNN_ALL_RESULTS_May12/male_pgnn_target-BMD_l2_fw-none_80pct_knn40/bmd/results_knn40_l2_fw-none_K30_p5.0_mu0.00173.csv
10.0,2.0,BMD,l2,none,40.0,5e-05,0.366941739906464,39.71578617510859,0.0712070500605279,6.664237825309047,0.8409715516727015,37,0.008025638531605,PGNN_ALL_RESULTS_May12/male_pgnn_target-BMD_l2_fw-none_80pct_knn2/bmd/results_knn2_l2_fw-none_K40_p10.0_mu5e-05.csv
10.0,5.0,BMD,l2,none,40.0,5e-05,0.3728478536402051,40.35503193176447,0.0723531667001566,6.771502398908675,0.8358110655623642,70,0.0086949047439844,PGNN_ALL_RESULTS_May12/male_pgnn_target-BMD_l2_fw-none_80pct_knn5/bmd/results_knn5_l2_fw-none_K40_p10.0_mu5e-05.csv
10.0,10.0,BMD,l2,none,40.0,5e-05,0.3579251147717063,38.73987551429244,0.0694573254447033,6.500481835435286,0.8486909392309891,68,0.0086481693832561,PGNN_ALL_RESULTS_May12/male_pgnn_target-BMD_l2_fw-none_80pct_knn10/bmd/results_knn10_l2_fw-none_K40_p10.0_mu5e-05.csv
10.0,15.0,BMD,l2,none,80.0,3.535533905932738e-05,0.3565011370771431,38.58575188243248,0.0691810095870024,6.474621550687386,0.8498924873852429,106,0.0095186998443402,PGNN_ALL_RESULTS_May12/male_pgnn_target-BMD_l2_fw-none_80pct_knn15/bmd/results_knn15_l2_fw-none_K80_p10.0_mu3.54e-05.csv
10.0,20.0,BMD,l2,none,40.0,5e-05,0.3658944141732453,39.60242931119116,0.071003812175757,6.645216877269849,0.8418780546837727,67,0.0086249673641049,PGNN_ALL_RESULTS_May12/male_pgnn_target-BMD_l2_fw-none_80pct_knn20/bmd/results_knn20_l2_fw-none_K40_p10.0_mu5e-05.csv
10.0,25.0,BMD,l2,none,80.0,3.535533905932738e-05,0.3622736685070805,39.21053941415053,0.0703011901023824,6.579458773341937,0.8449919947398419,40,0.0080741665917822,PGNN_ALL_RESULTS_May12/male_pgnn_target-BMD_l2_fw-none_80pct_knn25/bmd/results_knn25_l2_fw-none_K80_p10.0_mu3.54e-05.csv
10.0,30.0,BMD,l2,none,40.0,5e-05,0.3597843106413981,38.94110480381711,0.0698181181607473,6.534248273776888,0.8471149458641314,84,0.0090279758085674,PGNN_ALL_RESULTS_May12/male_pgnn_target-BMD_l2_fw-none_80pct_knn30/bmd/results_knn30_l2_fw-none_K40_p10.0_mu5e-05.csv
10.0,35.0,BMD,l2,none,80.0,3.535533905932738e-05,0.3741903027826669,40.50033135479157,0.0726136708539417,6.795882872946418,0.834626603333052,10,0.0077472740168893,PGNN_ALL_RESULTS_May12/male_pgnn_target-BMD_l2_fw-none_80pct_knn35/bmd/results_knn35_l2_fw-none_K80_p10.0_mu3.54e-05.csv
10.0,40.0,BMD,l2,none,80.0,3.535533905932738e-05,0.3584548047711849,38.79720629046346,0.0695601215748903,6.5101024819654425,0.8482427661504902,46,0.0081801699963272,PGNN_ALL_RESULTS_May12/male_pgnn_target-BMD_l2_fw-none_80pct_knn40/bmd/results_knn40_l2_fw-none_K80_p10.0_mu3.54e-05.csv
100.0,2.0,BMD,l2,none,200.0,7.071067811865477e-08,0.3462418454256035,37.47534172946245,0.067190127709408,6.288295754251375,0.8584076801390049,81,0.0089564767647702,PGNN_ALL_RESULTS_May12/male_pgnn_target-BMD_l2_fw-none_80pct_knn2/bmd/results_knn2_l2_fw-none_K200_p100.0_mu7.07e-08.csv
100.0,5.0,BMD,l2,none,200.0,7.071067811865477e-08,0.3478054535208424,37.644578199502654,0.0674935530812083,6.316693207006277,0.8571259471321533,100,0.0093940336813573,PGNN_ALL_RESULTS_May12/male_pgnn_target-BMD_l2_fw-none_80pct_knn5/bmd/results_knn5_l2_fw-none_K200_p100.0_mu7.07e-08.csv
