target,kNN_graph,edge_metrics,fw_source,K,p,mu_used,RMSE_scaled,RelRMSE_scaled_pct,RMSE_orig,RelRMSE_orig_pct,R2,best_epoch,best_lr,source_file
BMD,35.0,l2,none,15.0,3.0,0.0081649658092772,0.5286064205948204,56.20806393570581,0.0764444879323661,7.623674349886956,0.6820305690390978,16,0.0077825627087219,PGNN_ALL_RESULTS_May12/female_pgnn_target-BMD_l2_fw-none_80pct_knn35/bmd/results_knn35_l2_fw-none_K15_p3.0_mu0.00816.csv
BMD,35.0,l2,none,5.0,2.0,0.0282842712474619,0.5292830003712191,56.28000638257701,0.0765423160610927,7.633430577129002,0.6812160902322657,27,0.0078877329137354,PGNN_ALL_RESULTS_May12/female_pgnn_target-BMD_l2_fw-none_80pct_knn35/bmd/results_knn35_l2_fw-none_K5_p2.0_mu0.0283.csv
BMD,35.0,l2,none,400.0,10000.0,5e-13,0.5232393236333762,55.63736687754573,0.0756683070642023,7.546267196859399,0.6884546646692897,19,0.0078061467165669,PGNN_ALL_RESULTS_May12/female_pgnn_target-BMD_l2_fw-none_80pct_knn35/bmd/results_knn35_l2_fw-none_K400_p10000.0_mu5e-13.csv
BMD,35.0,l2,none,3200.0,1000000.0,1.7677669529663694e-18,0.5040450561807587,53.59639164504336,0.0728925377637346,7.269444605858441,0.7108925915497313,18,0.007797851601572,PGNN_ALL_RESULTS_May12/female_pgnn_target-BMD_l2_fw-none_80pct_knn35/bmd/results_knn35_l2_fw-none_K3200_p1000000.0_mu1.77e-18.csv
BMD,35.0,l2,none,40.0,10.0,5e-05,0.5203996160144332,55.335413550485015,0.0752576437328571,7.505312464997171,0.6918271060023172,23,0.0078435994062494,PGNN_ALL_RESULTS_May12/female_pgnn_target-BMD_l2_fw-none_80pct_knn35/bmd/results_knn35_l2_fw-none_K40_p10.0_mu5e-05.csv
BMD,35.0,l2,none,80.0,10.0,3.535533905932738e-05,0.5191735673735149,55.20504468300235,0.0750803423397454,7.487630508855863,0.6932774909039436,21,0.0078240246106395,PGNN_ALL_RESULTS_May12/female_pgnn_target-BMD_l2_fw-none_80pct_knn35/bmd/results_knn35_l2_fw-none_K80_p10.0_mu3.54e-05.csv
BMD,35.0,l2,none,800.0,10000.0,3.5355339059327374e-13,0.5263563651677868,55.96880982456717,0.0761190844646584,7.591222434291387,0.6847317324506308,25,0.0078648450115282,PGNN_ALL_RESULTS_May12/female_pgnn_target-BMD_l2_fw-none_80pct_knn35/bmd/results_knn35_l2_fw-none_K800_p10000.0_mu3.54e-13.csv
BMD,35.0,l2,none,10.0,3.0,0.01,0.5385389914357287,57.26421943272658,0.0778808720913208,7.766922416103259,0.6699689453534389,15,0.0077755739506987,PGNN_ALL_RESULTS_May12/female_pgnn_target-BMD_l2_fw-none_80pct_knn35/bmd/results_knn35_l2_fw-none_K10_p3.0_mu0.01.csv
BMD,35.0,l2,none,200.0,100.0,7.071067811865477e-08,0.5313881035056998,56.50384734811239,0.076846746806591,7.663790920020251,0.6786752660320804,24,0.0078540150828855,PGNN_ALL_RESULTS_May12/female_pgnn_target-BMD_l2_fw-none_80pct_knn35/bmd/results_knn35_l2_fw-none_K200_p100.0_mu7.07e-08.csv
BMD,35.0,l2,none,100.0,100.0,1.0000000000000001e-07,0.5173290203371667,55.00890930947658,0.0748135964915008,7.461028414496879,0.695453098802628,23,0.0078435994062494,PGNN_ALL_RESULTS_May12/female_pgnn_target-BMD_l2_fw-none_80pct_knn35/bmd/results_knn35_l2_fw-none_K100_p100.0_mu1e-07.csv
BMD,35.0,l2,none,10.0,2.0,0.02,0.5075084056780397,53.96465839775478,0.0733933785476608,7.319392576484832,0.7069059640117089,30,0.0079250757223036,PGNN_ALL_RESULTS_May12/female_pgnn_target-BMD_l2_fw-none_80pct_knn35/bmd/results_knn35_l2_fw-none_K10_p2.0_mu0.02.csv
BMD,35.0,l2,none,1600.0,1000000.0,2.500000000000001e-18,0.5385710085635772,57.26762389528896,0.0778855091348895,7.767384860303877,0.6699297022875073,29,0.0079122321709504,PGNN_ALL_RESULTS_May12/female_pgnn_target-BMD_l2_fw-none_80pct_knn35/bmd/results_knn35_l2_fw-none_K1600_p1000000.0_mu2.5e-18.csv
BMD,35.0,l2,none,15.0,5.0,0.0024494897427831,0.4993265473071561,53.09466060638096,0.0722101590641746,7.201392178149758,0.7162800890773426,22,0.007833601469858,PGNN_ALL_RESULTS_May12/female_pgnn_target-BMD_l2_fw-none_80pct_knn35/bmd/results_knn35_l2_fw-none_K15_p5.0_mu0.00245.csv
BMD,35.0,l2,none,30.0,5.0,0.0017320508075688,0.5200617672868808,55.29948923678204,0.0752087875905886,7.500440127844804,0.6922271140744805,16,0.0077825627087219,PGNN_ALL_RESULTS_May12/female_pgnn_target-BMD_l2_fw-none_80pct_knn35/bmd/results_knn35_l2_fw-none_K30_p5.0_mu0.00173.csv
BMD,40.0,l2,none,100.0,100.0,1.0000000000000001e-07,0.3579586591209046,38.74350617293727,0.069463836903271,6.501091240100244,0.8486625768635554,79,0.008908689783734,PGNN_ALL_RESULTS_May12/male_pgnn_target-BMD_l2_fw-none_80pct_knn40/bmd/results_knn40_l2_fw-none_K100_p100.0_mu1e-07.csv
BMD,40.0,l2,none,200.0,100.0,7.071067811865477e-08,0.3902399183039857,42.23745479678507,0.0757281935147924,7.087369737050189,0.8201361133528784,26,0.0078760855523611,PGNN_ALL_RESULTS_May12/male_pgnn_target-BMD_l2_fw-none_80pct_knn40/bmd/results_knn40_l2_fw-none_K200_p100.0_mu7.07e-08.csv
BMD,40.0,l2,none,10.0,2.0,0.02,0.3635605846483131,39.34982824595124,0.0705509177463651,6.602830678365953,0.8438887590647632,38,0.008041467058907,PGNN_ALL_RESULTS_May12/male_pgnn_target-BMD_l2_fw-none_80pct_knn40/bmd/results_knn40_l2_fw-none_K10_p2.0_mu0.02.csv
BMD,40.0,l2,none,15.0,3.0,0.0081649658092772,0.3846254180062591,41.6297716987504,0.0746386765203805,6.985402300408663,0.8252743953100696,43,0.0081257331606513,PGNN_ALL_RESULTS_May12/male_pgnn_target-BMD_l2_fw-none_80pct_knn40/bmd/results_knn40_l2_fw-none_K15_p3.0_mu0.00816.csv
BMD,40.0,l2,none,10.0,3.0,0.01,0.3774439741030332,40.85249111311368,0.0732450771381681,6.854975921161487,0.8317381799910738,51,0.0082767809973118,PGNN_ALL_RESULTS_May12/male_pgnn_target-BMD_l2_fw-none_80pct_knn40/bmd/results_knn40_l2_fw-none_K10_p3.0_mu0.01.csv
BMD,40.0,l2,none,5.0,2.0,0.0282842712474619,0.3769215512339706,40.795946891772246,0.0731436924706137,6.845487372824654,0.8322036423888811,46,0.0081801699963272,PGNN_ALL_RESULTS_May12/male_pgnn_target-BMD_l2_fw-none_80pct_knn40/bmd/results_knn40_l2_fw-none_K5_p2.0_mu0.0283.csv
BMD,40.0,l2,none,40.0,10.0,5e-05,0.3742492013013308,40.50670621139383,0.072625100834563,6.796952600018867,0.8345745388375921,31,0.007938309404863,PGNN_ALL_RESULTS_May12/male_pgnn_target-BMD_l2_fw-none_80pct_knn40/bmd/results_knn40_l2_fw-none_K40_p10.0_mu5e-05.csv
BMD,40.0,l2,none,80.0,10.0,3.535533905932738e-05,0.3584548047711849,38.79720629046346,0.0695601215748903,6.5101024819654425,0.8482427661504902,46,0.0081801699963272,PGNN_ALL_RESULTS_May12/male_pgnn_target-BMD_l2_fw-none_80pct_knn40/bmd/results_knn40_l2_fw-none_K80_p10.0_mu3.54e-05.csv
BMD,40.0,l2,none,30.0,5.0,0.0017320508075688,0.3723145148018215,40.29730622503641,0.0722496689496195,6.761816088025454,0.8362804565153366,46,0.0081801699963272,PGNN_ALL_RESULTS_May12/male_pgnn_target-BMD_l2_fw-none_80pct_knn40/bmd/results_knn40_l2_fw-none_K30_p5.0_mu0.00173.csv
BMD,40.0,l2,none,1600.0,1000000.0,2.500000000000001e-18,0.379800491423903,41.1075477824843,0.0737023561193762,6.89777246842324,0.8296305841455861,11,0.0077520417759527,PGNN_ALL_RESULTS_May12/male_pgnn_target-BMD_l2_fw-none_80pct_knn40/bmd/results_knn40_l2_fw-none_K1600_p1000000.0_mu2.5e-18.csv
BMD,40.0,l2,none,400.0,10000.0,5e-13,0.3821299143009541,41.35967189602873,0.0741543870144122,6.940077849510465,0.8275343285690507,11,0.0077520417759527,PGNN_ALL_RESULTS_May12/male_pgnn_target-BMD_l2_fw-none_80pct_knn40/bmd/results_knn40_l2_fw-none_K400_p10000.0_mu5e-13.csv
BMD,40.0,l2,none,3200.0,1000000.0,1.7677669529663694e-18,0.4093073084806314,44.30120581994767,0.0794283163725063,7.433662676944585,0.8021301664727798,5,0.0077302022740362,PGNN_ALL_RESULTS_May12/male_pgnn_target-BMD_l2_fw-none_80pct_knn40/bmd/results_knn40_l2_fw-none_K3200_p1000000.0_mu1.77e-18.csv
BMD,40.0,l2,none,15.0,5.0,0.0024494897427831,0.379321385184601,41.05569191849856,0.0736093869032501,6.8890715186413045,0.830060144234432,34,0.0079803049361372,PGNN_ALL_RESULTS_May12/male_pgnn_target-BMD_l2_fw-none_80pct_knn40/bmd/results_knn40_l2_fw-none_K15_p5.0_mu0.00245.csv
BMD,40.0,l2,none,800.0,10000.0,3.5355339059327374e-13,0.370295195173645,40.0787460072964,0.0718578054267746,6.725141745961254,0.8380515695525794,11,0.0077520417759527,PGNN_ALL_RESULTS_May12/male_pgnn_target-BMD_l2_fw-none_80pct_knn40/bmd/results_knn40_l2_fw-none_K800_p10000.0_mu3.54e-13.csv
BMD,2.0,l2,none,100.0,100.0,1.0000000000000001e-07,0.4940384741219954,52.53236634715925,0.0714454316710353,7.125127260044874,0.7222576886940066,29,0.0079122321709504,PGNN_ALL_RESULTS_May12/female_pgnn_target-BMD_l2_fw-none_80pct_knn2/bmd/results_knn2_l2_fw-none_K100_p100.0_mu1e-07.csv
BMD,2.0,l2,none,5.0,2.0,0.0282842712474619,0.5199677749885969,55.28949479686309,0.0751951950915725,7.499084571821046,0.6923383534255356,22,0.007833601469858,PGNN_ALL_RESULTS_May12/female_pgnn_target-BMD_l2_fw-none_80pct_knn2/bmd/results_knn2_l2_fw-none_K5_p2.0_mu0.0283.csv
