source,target
cube0_cluster0,cube1_cluster0
cube0_cluster0,cube5_cluster0
cube1_cluster0,cube5_cluster0
cube5_cluster0,cube9_cluster0
cube5_cluster0,cube10_cluster0
cube9_cluster0,cube10_cluster0
cube10_cluster0,cube17_cluster0
cube13_cluster0,cube20_cluster0
cube16_cluster0,cube17_cluster0
cube26_cluster0,cube34_cluster0
cube26_cluster0,cube35_cluster0
cube34_cluster0,cube35_cluster0
cube34_cluster0,cube42_cluster0
cube34_cluster0,cube43_cluster0
cube35_cluster0,cube42_cluster0
cube35_cluster0,cube43_cluster0
cube35_cluster0,cube44_cluster0
cube41_cluster0,cube51_cluster0
cube42_cluster0,cube43_cluster0
cube43_cluster0,cube44_cluster0
cube43_cluster0,cube54_cluster0
cube44_cluster0,cube45_cluster0
cube44_cluster0,cube54_cluster0
cube44_cluster0,cube55_cluster0
cube53_cluster0,cube62_cluster0
cube53_cluster0,cube63_cluster0
cube53_cluster0,cube63_cluster1
cube54_cluster0,cube55_cluster0
cube54_cluster0,cube62_cluster0
cube54_cluster0,cube63_cluster0
cube62_cluster0,cube63_cluster0
cube62_cluster0,cube63_cluster1
cube71_cluster0,cube83_cluster0
cube79_cluster0,cube90_cluster0
cube84_cluster0,cube85_cluster0
cube90_cluster0,cube99_cluster0
cube98_cluster0,cube99_cluster0
