dataset,target,target_idx,fw_source,kNN_graph,K,p,mu_used,RMSE_scaled,MAE_scaled,RelRMSE_scaled_pct,RMSE_orig,MAE_orig,RelRMSE_orig_pct,R2,best_epoch,best_lr
female,ALM,0,corr2,15,15,5,0.00244949,0.296148416,0.235060322,33.10413804,1.280705387,1.01652755,8.160992736,0.886867703,205,0.007745963
female,Age,3,none,2,5,2,0.028284271,0.542339607,0.358371627,60.30486204,11.18258856,7.38932297,35.18630774,0.629901071,139,0.004481061
female,BFP,2,corr2,40,100,100,1.00E-07,0.475297673,0.382029985,48.70725614,3.514564082,2.824900996,9.982157787,0.762309443,179,0.006530252
female,BMD,1,none,2,400,10000,5.00E-13,0.510858052,0.384917735,54.32083477,0.073877791,0.055664906,7.367702167,0.70302425,101,0.002620026
male,ALM,0,none,15,200,100,7.07E-08,0.158303508,0.13196892,15.18309643,1.244790673,1.037713534,5.51531738,0.976579457,93,0.002267687
male,Age,3,corr2,30,800,10000,3.54E-13,0.618549085,0.441477003,60.41099368,12.03220123,8.587742008,36.06364627,0.634607712,117,0.003373247
male,BFP,2,corr,10,80,10,3.54E-05,0.386560196,0.316679103,39.47636586,2.970523611,2.433522073,11.32462266,0.844142178,156,0.005360813
male,BMD,1,corr,30,5,2,0.028284271,0.361276399,0.280363212,39.10260032,0.070107652,0.054406015,6.561345594,0.845844235,62,0.001107177
penn_data,ALM,0,corr2,40,400,10000,5.00E-13,0.270263294,0.197690283,26.00808312,1.869604407,1.367565098,9.58641162,0.931770569,80,0.001737803
penn_data,Age,3,none,5,400,10000,5.00E-13,0.589870993,0.385647571,57.51633156,11.67892911,7.635483945,33.95150068,0.669159856,142,0.004635795
penn_data,BFP,2,none,20,15,3,0.008164966,0.411221048,0.325595976,44.3711815,3.708446844,2.936268433,11.26901432,0.789242695,188,0.006968202
penn_data,BMD,1,corr2,10,10,3,0.01,0.476301978,0.374519316,49.04578985,0.081759395,0.064287942,7.904151217,0.757557311,86,0.001975318
