dataset,target,target_idx,kNN_graph,K,p,mu_used,RMSE_scaled,MAE_scaled,RelRMSE_scaled_pct,RMSE_orig,MAE_orig,RelRMSE_orig_pct,R2,best_epoch,best_lr
female,ALM,0,40,15,3,0.008164966,0.351169313,0.288712507,39.25449807,1.518645261,1.24854837,9.67720841,0.840925381,26,0.000282345
female,Age,3,10,1600,1000000,2.50E-18,0.569266837,0.399718363,63.29900606,11.73780566,8.241858341,36.93331289,0.59223781,25,0.000268667
female,BFP,2,25,15,5,0.00244949,0.492109912,0.399955598,50.43013021,3.638881205,2.957450855,10.33524656,0.745196859,44,0.000616227
female,BMD,1,10,10,3,0.01,0.506916353,0.390798463,53.90170389,0.073307759,0.056515345,7.310853891,0.707589405,199,0.007479974
male,ALM,0,20,800,10000,3.54E-13,0.168551011,0.139674126,16.16594777,1.325370244,1.098302047,5.872342797,0.973449139,62,0.001107177
male,Age,3,25,15,5,0.00244949,0.678037978,0.44894332,66.2210146,13.18939721,8.732979327,39.53206453,0.560944846,26,0.000282345
male,BFP,2,2,80,10,3.54E-05,0.408892399,0.334493705,41.75697881,3.142135478,2.57041853,11.9788641,0.825613681,30,0.00034227
male,BMD,1,30,400,10000,5.00E-13,0.365217951,0.288208539,39.52921258,0.070872551,0.055928451,6.632932193,0.842462184,45,0.000639518
penn_data,ALM,0,35,3200,1000000,1.77E-18,0.252417298,0.190864119,24.29072032,1.746150928,1.320343653,8.953402918,0.940483711,158,0.005464205
penn_data,Age,3,25,15,5,0.00244949,0.625881239,0.432220115,61.02756919,12.39190058,8.557579568,36.02416088,0.62753284,28,0.000311268
penn_data,BFP,2,35,200,100,7.07E-08,0.399036949,0.324973089,43.05650442,3.598568876,2.930651102,10.93512349,0.801546764,38,0.000486777
penn_data,BMD,1,2,10,2,0.02,0.479107873,0.370734952,49.33471856,0.082241035,0.063638334,7.950714115,0.754692438,27,0.000296546
