p,kNN_graph,target,edge_metrics,fw_source,K,mu_used,RMSE_scaled,RelRMSE_scaled_pct,RMSE_orig,RelRMSE_orig_pct,R2,best_epoch,best_lr,source_file
2.0,2.0,Age,l2,none,5.0,0.0282842712474619,0.5282920592673161,51.59598325822599,10.276495039696515,30.801336758854784,0.7334619568522935,104,0.0094781926034759,PGNN_ALL_RESULTS_May12/male_pgnn_target-AGE_l2_fw-none_80pct_knn2/age/results_knn2_l2_fw-none_K5_p2.0_mu0.0283.csv
2.0,5.0,Age,l2,none,10.0,0.02,0.4842318243767164,47.29281212042439,9.419421994202104,28.23246523220729,0.7760672073916852,200,0.0093940336813573,PGNN_ALL_RESULTS_May12/male_pgnn_target-AGE_l2_fw-none_80pct_knn5/age/results_knn5_l2_fw-none_K10_p2.0_mu0.02.csv
2.0,10.0,Age,l2,none,10.0,0.02,0.5178809641085396,50.57917696313036,10.073975329728537,30.194332350938136,0.7438638160866896,155,0.0099932223927485,PGNN_ALL_RESULTS_May12/male_pgnn_target-AGE_l2_fw-none_80pct_knn10/age/results_knn10_l2_fw-none_K10_p2.0_mu0.02.csv
2.0,15.0,Age,l2,none,5.0,0.0282842712474619,0.5186917258131635,50.65836052571543,10.08974649538938,30.24160264910136,0.7430612070803415,124,0.0098220893366632,PGNN_ALL_RESULTS_May12/male_pgnn_target-AGE_l2_fw-none_80pct_knn15/age/results_knn15_l2_fw-none_K5_p2.0_mu0.0283.csv
2.0,20.0,Age,l2,none,5.0,0.0282842712474619,0.5345308558094316,52.20529932931155,10.39785378318954,31.16508057544992,0.7271294922412284,99,0.0093723997248121,PGNN_ALL_RESULTS_May12/male_pgnn_target-AGE_l2_fw-none_80pct_knn20/age/results_knn20_l2_fw-none_K5_p2.0_mu0.0283.csv
2.0,25.0,Age,l2,none,5.0,0.0282842712474619,0.4921595199609829,48.067075601138846,9.573633894636805,28.69467853150476,0.7686748675308193,128,0.0098715031251188,PGNN_ALL_RESULTS_May12/male_pgnn_target-AGE_l2_fw-none_80pct_knn25/age/results_knn25_l2_fw-none_K5_p2.0_mu0.0283.csv
2.0,30.0,Age,l2,none,10.0,0.02,0.5247154032791554,51.246666854073496,10.20692123349304,30.59280590994272,0.737058784756077,99,0.0093723997248121,PGNN_ALL_RESULTS_May12/male_pgnn_target-AGE_l2_fw-none_80pct_knn30/age/results_knn30_l2_fw-none_K10_p2.0_mu0.02.csv
2.0,35.0,Age,l2,none,5.0,0.0282842712474619,0.5125886595475813,50.06230063925879,9.971027353553758,29.885770407342285,0.7490720569689289,76,0.0088370421783673,PGNN_ALL_RESULTS_May12/male_pgnn_target-AGE_l2_fw-none_80pct_knn35/age/results_knn35_l2_fw-none_K5_p2.0_mu0.0283.csv
2.0,40.0,Age,l2,none,5.0,0.0282842712474619,0.4935322667378872,48.20114579673703,9.600337059320385,28.774714882884187,0.7673826292280466,133,0.0099225890737155,PGNN_ALL_RESULTS_May12/male_pgnn_target-AGE_l2_fw-none_80pct_knn40/age/results_knn40_l2_fw-none_K5_p2.0_mu0.0283.csv
3.0,2.0,Age,l2,none,10.0,0.01,0.5103165715167559,49.84039570250416,9.926830067304534,29.75329960943588,0.7512916410051445,143,0.0099867304449397,PGNN_ALL_RESULTS_May12/male_pgnn_target-AGE_l2_fw-none_80pct_knn2/age/results_knn2_l2_fw-none_K10_p3.0_mu0.01.csv
3.0,5.0,Age,l2,none,15.0,0.0081649658092772,0.5390644350159368,52.648074254157294,10.48604236816568,31.429404772916488,0.722481206206455,87,0.0090989970417043,PGNN_ALL_RESULTS_May12/male_pgnn_target-AGE_l2_fw-none_80pct_knn5/age/results_knn5_l2_fw-none_K15_p3.0_mu0.00816.csv
3.0,10.0,Age,l2,none,10.0,0.01,0.5031629291831881,49.14173062964655,9.787675873119143,29.33621818430459,0.7582155799647183,94,0.0092611971691567,PGNN_ALL_RESULTS_May12/male_pgnn_target-AGE_l2_fw-none_80pct_knn10/age/results_knn10_l2_fw-none_K10_p3.0_mu0.01.csv
3.0,15.0,Age,l2,none,10.0,0.01,0.4838291682673978,47.25348645290624,9.411589511787918,28.208989238926968,0.7764394688316022,123,0.0098086021253405,PGNN_ALL_RESULTS_May12/male_pgnn_target-AGE_l2_fw-none_80pct_knn15/age/results_knn15_l2_fw-none_K10_p3.0_mu0.01.csv
3.0,20.0,Age,l2,none,15.0,0.0081649658092772,0.5274639695515245,51.5151073443015,10.260386596797725,30.753055552814214,0.7342968905710443,133,0.0099225890737155,PGNN_ALL_RESULTS_May12/male_pgnn_target-AGE_l2_fw-none_80pct_knn20/age/results_knn20_l2_fw-none_K15_p3.0_mu0.00816.csv
3.0,25.0,Age,l2,none,15.0,0.0081649658092772,0.5308132995139315,51.84222180615106,10.325538949896124,30.94833415321871,0.7309118144308099,94,0.0092611971691567,PGNN_ALL_RESULTS_May12/male_pgnn_target-AGE_l2_fw-none_80pct_knn25/age/results_knn25_l2_fw-none_K15_p3.0_mu0.00816.csv
3.0,30.0,Age,l2,none,10.0,0.01,0.483616054022475,47.23267251330552,9.407443947232846,28.19656390038273,0.7766363707298664,174,0.0098477168001498,PGNN_ALL_RESULTS_May12/male_pgnn_target-AGE_l2_fw-none_80pct_knn30/age/results_knn30_l2_fw-none_K10_p3.0_mu0.01.csv
3.0,35.0,Age,l2,none,15.0,0.0081649658092772,0.4879388274274829,47.65485895416026,9.491531801135892,28.44859713694756,0.7726254798362584,119,0.0097503332389233,PGNN_ALL_RESULTS_May12/male_pgnn_target-AGE_l2_fw-none_80pct_knn35/age/results_knn35_l2_fw-none_K15_p3.0_mu0.00816.csv
3.0,40.0,Age,l2,none,15.0,0.0081649658092772,0.5132410570688923,50.12601746217291,9.983718390905205,29.923808757360568,0.7484329131147662,118,0.0097347245058564,PGNN_ALL_RESULTS_May12/male_pgnn_target-AGE_l2_fw-none_80pct_knn40/age/results_knn40_l2_fw-none_K15_p3.0_mu0.00816.csv
5.0,2.0,Age,l2,none,30.0,0.0017320508075688,0.5208359568592124,50.86777822793709,10.131456855488471,30.366619480499864,0.7409324864060058,70,0.0086949047439844,PGNN_ALL_RESULTS_May12/male_pgnn_target-AGE_l2_fw-none_80pct_knn2/age/results_knn2_l2_fw-none_K30_p5.0_mu0.00173.csv
5.0,5.0,Age,l2,none,30.0,0.0017320508075688,0.5070911427715801,49.52538213260971,9.86408826160728,29.565246048501468,0.7544256014988557,157,0.0099867304449397,PGNN_ALL_RESULTS_May12/male_pgnn_target-AGE_l2_fw-none_80pct_knn5/age/results_knn5_l2_fw-none_K30_p5.0_mu0.00173.csv
5.0,10.0,Age,l2,none,30.0,0.0017320508075688,0.5174697237420225,50.53901290861978,10.06597570176832,30.1703553788483,0.7442704412522102,103,0.0094575304037343,PGNN_ALL_RESULTS_May12/male_pgnn_target-AGE_l2_fw-none_80pct_knn10/age/results_knn10_l2_fw-none_K30_p5.0_mu0.00173.csv
5.0,15.0,Age,l2,none,15.0,0.0024494897427831,0.5352146549990383,52.27208301632716,10.41115548247224,31.20494923859711,0.7264309058943375,100,0.0093940336813573,PGNN_ALL_RESULTS_May12/male_pgnn_target-AGE_l2_fw-none_80pct_knn15/age/results_knn15_l2_fw-none_K15_p5.0_mu0.00245.csv
5.0,20.0,Age,l2,none,30.0,0.0017320508075688,0.4980336841878162,48.64077962297121,9.687900005461453,29.037163877533644,0.7631199570482029,148,0.0099989145419203,PGNN_ALL_RESULTS_May12/male_pgnn_target-AGE_l2_fw-none_80pct_knn20/age/results_knn20_l2_fw-none_K30_p5.0_mu0.00173.csv
5.0,25.0,Age,l2,none,30.0,0.0017320508075688,0.5437486345385742,53.10555960891235,10.577161260987786,31.70251186751112,0.7176372532832939,67,0.0086249673641049,PGNN_ALL_RESULTS_May12/male_pgnn_target-AGE_l2_fw-none_80pct_knn25/age/results_knn25_l2_fw-none_K30_p5.0_mu0.00173.csv
5.0,30.0,Age,l2,none,15.0,0.0024494897427831,0.5180521410373947,50.59589506782354,10.077305008509482,30.20431226695372,0.7436944650024746,125,0.0098351298783183,PGNN_ALL_RESULTS_May12/male_pgnn_target-AGE_l2_fw-none_80pct_knn30/age/results_knn30_l2_fw-none_K15_p5.0_mu0.00245.csv
5.0,35.0,Age,l2,none,30.0,0.0017320508075688,0.5187524470341716,50.66429090276273,10.090927425036856,30.245142203357936,0.7430010459107472,103,0.0094575304037343,PGNN_ALL_RESULTS_May12/male_pgnn_target-AGE_l2_fw-none_80pct_knn35/age/results_knn35_l2_fw-none_K30_p5.0_mu0.00173.csv
5.0,40.0,Age,l2,none,30.0,0.0017320508075688,0.4868045737573389,47.54408134100345,9.469467918829086,28.38246592523437,0.7736813524754343,96,0.0093062416663153,PGNN_ALL_RESULTS_May12/male_pgnn_target-AGE_l2_fw-none_80pct_knn40/age/results_knn40_l2_fw-none_K30_p5.0_mu0.00173.csv
10.0,2.0,Age,l2,none,80.0,3.535533905932738e-05,0.5091531992970132,49.72677420749972,9.9042002146102,29.6854720368103,0.7524243127863575,140,0.0099729822694463,PGNN_ALL_RESULTS_May12/male_pgnn_target-AGE_l2_fw-none_80pct_knn2/age/results_knn2_l2_fw-none_K80_p10.0_mu3.54e-05.csv
10.0,5.0,Age,l2,none,80.0,3.535533905932738e-05,0.5313682196876292,51.89641844130674,10.336333520554955,30.980688297773405,0.7303489027073005,77,0.0088609061729741,PGNN_ALL_RESULTS_May12/male_pgnn_target-AGE_l2_fw-none_80pct_knn5/age/results_knn5_l2_fw-none_K80_p10.0_mu3.54e-05.csv
10.0,10.0,Age,l2,none,80.0,3.535533905932738e-05,0.5075197850313183,49.56724575419791,9.872426475534027,29.590237851069663,0.7540102597755428,120,0.0097655332711616,PGNN_ALL_RESULTS_May12/male_pgnn_target-AGE_l2_fw-none_80pct_knn10/age/results_knn10_l2_fw-none_K80_p10.0_mu3.54e-05.csv
10.0,15.0,Age,l2,none,40.0,5e-05,0.5141486433450426,50.21465745872063,10.001372696625346,29.976723317590423,0.7475424126161869,112,0.0096329612111306,PGNN_ALL_RESULTS_May12/male_pgnn_target-AGE_l2_fw-none_80pct_knn15/age/results_knn15_l2_fw-none_K40_p10.0_mu5e-05.csv
10.0,20.0,Age,l2,none,80.0,3.535533905932738e-05,0.5257075844305863,51.34356886344564,10.226220766197509,30.65065164468229,0.7360634567390437,179,0.0097803165985576,PGNN_ALL_RESULTS_May12/male_pgnn_target-AGE_l2_fw-none_80pct_knn20/age/results_knn20_l2_fw-none_K80_p10.0_mu3.54e-05.csv
10.0,25.0,Age,l2,none,40.0,5e-05,0.5434383821070777,53.07525860593396,10.571126154653168,31.68442307927447,0.717959382777237,70,0.0086949047439844,PGNN_ALL_RESULTS_May12/male_pgnn_target-AGE_l2_fw-none_80pct_knn25/age/results_knn25_l2_fw-none_K40_p10.0_mu5e-05.csv
10.0,30.0,Age,l2,none,80.0,3.535533905932738e-05,0.5450913179647322,53.15001644159384,10.792330946701098,31.374095011339108,0.7174842593511668,133,0.0099225890737155,PGNN_ALL_RESULTS_May12/penn_data_pgnn_target-AGE_l2_fw-none_80pct_knn30/age/results_knn30_l2_fw-none_K80_p10.0_mu3.54e-05.csv
10.0,35.0,Age,l2,none,40.0,5e-05,0.5038691239137372,49.21070159155158,9.80141269892925,29.377391035178388,0.7575364094773223,132,0.0099133523761934,PGNN_ALL_RESULTS_May12/male_pgnn_target-AGE_l2_fw-none_80pct_knn35/age/results_knn35_l2_fw-none_K40_p10.0_mu5e-05.csv
10.0,40.0,Age,l2,none,80.0,3.535533905932738e-05,0.5256915431915838,51.34200218553615,10.22590882463275,30.649716674427545,0.7360795638095978,103,0.0094575304037343,PGNN_ALL_RESULTS_May12/male_pgnn_target-AGE_l2_fw-none_80pct_knn40/age/results_knn40_l2_fw-none_K80_p10.0_mu3.54e-05.csv
100.0,2.0,Age,l2,none,200.0,7.071067811865477e-08,0.4753824099006973,46.42852837218288,9.247280945254063,27.7165135971226,0.7841772335869432,148,0.0099989145419203,PGNN_ALL_RESULTS_May12/male_pgnn_target-AGE_l2_fw-none_80pct_knn2/age/results_knn2_l2_fw-none_K200_p100.0_mu7.07e-08.csv
100.0,5.0,Age,l2,none,200.0,7.071067811865477e-08,0.5330993275689646,52.065488204322754,10.370007368327473,31.081617605012998,0.7285890853442769,100,0.0093940336813573,PGNN_ALL_RESULTS_May12/male_pgnn_target-AGE_l2_fw-none_80pct_knn5/age/results_knn5_l2_fw-none_K200_p100.0_mu7.07e-08.csv
100.0,10.0,Age,l2,none,200.0,7.071067811865477e-08,0.522071802142488,50.98847785123653,10.155496450257749,30.43867241792401,0.739701591308136,87,0.0090989970417043,PGNN_ALL_RESULTS_May12/male_pgnn_target-AGE_l2_fw-none_80pct_knn10/age/results_knn10_l2_fw-none_K200_p100.0_mu7.07e-08.csv
100.0,15.0,Age,l2,none,200.0,7.071067811865477e-08,0.5097739515880666,49.78740037867692,9.91627531143491,29.721664252371824,0.7518202633198209,105,0.0094985858282077,PGNN_ALL_RESULTS_May12/male_pgnn_target-AGE_l2_fw-none_80pct_knn15/age/results_knn15_l2_fw-none_K200_p100.0_mu7.07e-08.csv
100.0,20.0,Age,l2,none,200.0,7.071067811865477e-08,0.5184216958521304,50.63198787614729,10.084493657421632,30.225858523253077,0.7433286611727534,95,0.0092838061109327,PGNN_ALL_RESULTS_May12/male_pgnn_target-AGE_l2_fw-none_80pct_knn20/age/results_knn20_l2_fw-none_K200_p100.0_mu7.07e-08.csv
100.0,25.0,Age,l2,none,100.0,1.0000000000000001e-07,0.5128697354883756,50.08975210153446,9.976495156851843,29.902158840369797,0.7487967908516868,184,0.0097023139142105,PGNN_ALL_RESULTS_May12/male_pgnn_target-AGE_l2_fw-none_80pct_knn25/age/results_knn25_l2_fw-none_K100_p100.0_mu1e-07.csv
100.0,30.0,Age,l2,none,200.0,7.071067811865477e-08,0.5174413137913272,50.536238232539134,10.065423132751492,30.16869918534029,0.7442985204397818,139,0.0099673398709189,PGNN_ALL_RESULTS_May12/male_pgnn_target-AGE_l2_fw-none_80pct_knn30/age/results_knn30_l2_fw-none_K200_p100.0_mu7.07e-08.csv
100.0,35.0,Age,l2,none,100.0,1.0000000000000001e-07,0.5190200684795719,50.690428323104754,10.096133502203418,30.26074617488524,0.7427358089054878,132,0.0099133523761934,PGNN_ALL_RESULTS_May12/male_pgnn_target-AGE_l2_fw-none_80pct_knn35/age/results_knn35_l2_fw-none_K100_p100.0_mu1e-07.csv
100.0,40.0,Age,l2,none,100.0,1.0000000000000001e-07,0.5087757560680599,49.68991097213515,9.896857895600318,29.663465191135703,0.7527912401886289,177,0.0098086021253405,PGNN_ALL_RESULTS_May12/male_pgnn_target-AGE_l2_fw-none_80pct_knn40/age/results_knn40_l2_fw-none_K100_p100.0_mu1e-07.csv
10000.0,2.0,Age,l2,none,400.0,5e-13,0.4779952011909913,46.68370831158649,9.298105345852058,27.868847585738237,0.7817983088204886,127,0.0098598433792501,PGNN_ALL_RESULTS_May12/male_pgnn_target-AGE_l2_fw-none_80pct_knn2/age/results_knn2_l2_fw-none_K400_p10000.0_mu5e-13.csv
10000.0,5.0,Age,l2,none,400.0,5e-13,0.504328816992604,49.25559781133203,9.81035471681775,29.404192595751667,0.7570937958200686,167,0.0099225890737155,PGNN_ALL_RESULTS_May12/male_pgnn_target-AGE_l2_fw-none_80pct_knn5/age/results_knn5_l2_fw-none_K400_p10000.0_mu5e-13.csv
10000.0,10.0,Age,l2,none,800.0,3.5355339059327374e-13,0.483551650131769,47.22638246595701,9.406191306213158,28.192809408434236,0.7766958581218953,107,0.0095385245205017,PGNN_ALL_RESULTS_May12/male_pgnn_target-AGE_l2_fw-none_80pct_knn10/age/results_knn10_l2_fw-none_K800_p10000.0_mu3.54e-13.csv
10000.0,15.0,Age,l2,none,400.0,5e-13,0.53780859967582,52.52542228911806,10.46161356580486,31.35618527879669,0.7237727473379161,111,0.0096147311545127,PGNN_ALL_RESULTS_May12/male_pgnn_target-AGE_l2_fw-none_80pct_knn15/age/results_knn15_l2_fw-none_K400_p10000.0_mu5e-13.csv
10000.0,20.0,Age,l2,none,800.0,3.5355339059327374e-13,0.4887576820282729,47.73483291464696,9.507460398235592,28.496339298206703,0.7718616836803778,98,0.009350549257611,PGNN_ALL_RESULTS_May12/male_pgnn_target-AGE_l2_fw-none_80pct_knn20/age/results_knn20_l2_fw-none_K800_p10000.0_mu3.54e-13.csv
10000.0,25.0,Age,l2,none,400.0,5e-13,0.492746390461968,48.12439268552881,9.58505012350084,28.7288959478903,0.7681228561100538,130,0.0098933973470633,PGNN_ALL_RESULTS_May12/male_pgnn_target-AGE_l2_fw-none_80pct_knn25/age/results_knn25_l2_fw-none_K400_p10000.0_mu5e-13.csv
10000.0,30.0,Age,l2,none,400.0,5e-13,0.5073701111332679,49.55262775681837,9.869515044474042,29.58151153259411,0.7541553292499025,174,0.0098477168001498,PGNN_ALL_RESULTS_May12/male_pgnn_target-AGE_l2_fw-none_80pct_knn30/age/results_knn30_l2_fw-none_K400_p10000.0_mu5e-13.csv
10000.0,35.0,Age,l2,none,800.0,3.5355339059327374e-13,0.5059904704187516,49.41788426037574,9.842677806121207,29.50107332744827,0.7554905130312541,166,0.0099313251441108,PGNN_ALL_RESULTS_May12/male_pgnn_target-AGE_l2_fw-none_80pct_knn35/age/results_knn35_l2_fw-none_K800_p10000.0_mu3.54e-13.csv
10000.0,40.0,Age,l2,none,800.0,3.5355339059327374e-13,0.5029418729087524,49.120141026632766,9.783375407381122,29.323328566501527,0.7584279812338618,104,0.0094781926034759,PGNN_ALL_RESULTS_May12/male_pgnn_target-AGE_l2_fw-none_80pct_knn40/age/results_knn40_l2_fw-none_K800_p10000.0_mu3.54e-13.csv
1000000.0,2.0,Age,l2,none,1600.0,2.500000000000001e-18,0.5061526473269989,49.4337233722761,9.845832662355688,29.51052925468111,0.7553337506029261,116,0.0097023139142105,PGNN_ALL_RESULTS_May12/male_pgnn_target-AGE_l2_fw-none_80pct_knn2/age/results_knn2_l2_fw-none_K1600_p1000000.0_mu2.5e-18.csv
1000000.0,5.0,Age,l2,none,1600.0,2.500000000000001e-18,0.5259924570725806,51.3713911329824,10.231762752689496,30.66726242409623,0.7357773331437161,110,0.0095961628708421,PGNN_ALL_RESULTS_May12/male_pgnn_target-AGE_l2_fw-none_80pct_knn5/age/results_knn5_l2_fw-none_K1600_p1000000.0_mu2.5e-18.csv
1000000.0,10.0,Age,l2,none,1600.0,2.500000000000001e-18,0.4975730635539394,48.59579281293499,9.678939722119024,29.010307570629507,0.7635579249263037,109,0.009577265879135,PGNN_ALL_RESULTS_May12/male_pgnn_target-AGE_l2_fw-none_80pct_knn10/age/results_knn10_l2_fw-none_K1600_p1000000.0_mu2.5e-18.csv
1000000.0,15.0,Age,l2,none,1600.0,2.500000000000001e-18,0.5244032273665549,51.21617799307774,10.200848271839767,30.57460365943966,0.7373715619136715,77,0.0088609061729741,PGNN_ALL_RESULTS_May12/male_pgnn_target-AGE_l2_fw-none_80pct_knn15/age/results_knn15_l2_fw-none_K1600_p1000000.0_mu2.5e-18.csv
