node,n_members,members
cube0_cluster0,19,22|29|61|68|86|109|126|187|213|216|254|301|336|353|370|386|446|502|505
cube1_cluster0,21,20|36|68|86|87|109|126|156|216|234|254|285|356|370|386|446|470|474|502|505|509
cube5_cluster0,11,43|68|90|104|109|130|150|240|356|470|491
cube9_cluster0,13,43|80|90|96|104|130|150|212|240|397|411|414|492
cube10_cluster0,12,4|80|96|130|212|223|282|343|372|391|411|414
cube13_cluster0,5,218|293|360|364|444
cube16_cluster0,6,41|144|311|316|317|431
cube17_cluster0,13,4|41|110|144|158|223|282|311|316|317|343|391|431
cube20_cluster0,11,151|177|218|273|293|360|364|404|444|451|497
cube26_cluster0,5,10|157|190|421|447
cube34_cluster0,26,10|19|77|118|157|169|181|186|190|191|207|230|249|253|305|347|359|412|416|418|421|423|447|449|500|512
cube35_cluster0,24,19|92|118|169|171|181|230|249|280|281|321|355|388|412|416|418|420|423|442|447|449|461|507|512
cube41_cluster0,7,38|121|275|277|324|331|472
cube42_cluster0,5,19|191|207|494|512
cube43_cluster0,18,19|56|74|92|98|171|179|189|281|321|355|373|388|434|448|469|507|512
cube44_cluster0,8,92|98|122|134|184|189|309|499
cube45_cluster0,8,135|184|269|270|338|402|439|452
cube47_cluster0,12,5|8|66|115|242|262|291|297|304|329|399|506
cube47_cluster1,4,153|217|258|267
cube51_cluster0,5,38|121|275|277|324
cube53_cluster0,5,0|7|100|257|303
cube54_cluster0,17,98|119|122|134|162|163|198|201|309|351|369|377|382|385|401|469|513
cube55_cluster0,6,122|134|162|295|351|401
cube56_cluster0,5,23|137|302|468|482
cube62_cluster0,7,0|100|198|257|299|303|510
cube63_cluster0,9,27|49|100|119|168|198|201|382|510
cube63_cluster1,3,257|303|419
cube71_cluster0,6,69|107|245|286|398|511
cube79_cluster0,7,83|89|226|241|390|463|486
cube83_cluster0,6,69|107|245|286|398|511
cube84_cluster0,6,188|209|259|287|396|498
cube85_cluster0,6,209|259|271|287|396|498
cube90_cluster0,10,83|89|102|139|226|290|306|308|390|463
cube98_cluster0,8,1|57|79|129|210|400|409|424
cube99_cluster0,13,1|6|42|93|102|139|174|197|202|335|362|400|424
cube99_cluster1,5,54|265|376|459|460
