source,target
cube10_cluster0,cube11_cluster0
cube10_cluster0,cube18_cluster0
cube10_cluster0,cube19_cluster0
cube11_cluster0,cube12_cluster0
cube11_cluster0,cube18_cluster0
cube11_cluster0,cube19_cluster0
cube11_cluster0,cube20_cluster1
cube12_cluster0,cube19_cluster0
cube12_cluster0,cube20_cluster1
cube18_cluster0,cube19_cluster0
cube19_cluster0,cube20_cluster1
cube19_cluster1,cube20_cluster0
cube19_cluster1,cube27_cluster0
cube19_cluster1,cube28_cluster0
cube20_cluster0,cube27_cluster0
cube20_cluster0,cube28_cluster0
cube27_cluster0,cube28_cluster0
