Task,space,Dataset,fw_source,p,K,mu_used,kNN_graph,edge_metrics,RelRMSE_orig_pct,R2,best_epoch,best_lr,weights_path,weights_dim,weights_top10,results_csv,run_folder
AGE,VAEz15,female_80pct,age_c,2,5,0.028284271,10,l2,46.41881232,0.355892299,50,0.000763174,/scratch/gsunka1/TDA_guoji/PGNN_ALL_RESULTS_mar30age_VAE_L2_WEIGHTS/female_pgnn_target-AGE_l2_fw-age_c_80pct_knn10_VAEz15/age/VAEz15_feature_weights_age_power1_knn10.npy,15,"5:1.633, 7:1.548, 8:1.359, 12:1.335, 14:1.294, 2:1.188, 13:1.18, 11:1.082, 0:0.9166, 4:0.7767",/scratch/gsunka1/TDA_guoji/PGNN_ALL_RESULTS_mar30age_VAE_L2_WEIGHTS/female_pgnn_target-AGE_l2_fw-age_c_80pct_knn10_VAEz15/age/results_knn10_l2_fw-age_c_K5_p2.0_mu0.0283_VAEz15.csv,female_pgnn_target-AGE_l2_fw-age_c_80pct_knn10_VAEz15
AGE,VAEz15,female_80pct,age_c2,1000000,3200,1.77E-18,35,l2,47.00996165,0.33938223,113,0.003179688,/scratch/gsunka1/TDA_guoji/PGNN_ALL_RESULTS_mar30age_VAE_L2_WEIGHTS/female_pgnn_target-AGE_l2_fw-age_c2_80pct_knn35_VAEz15/age/VAEz15_feature_weights_age_power2_knn35.npy,15,"5:2.303, 7:2.07, 8:1.594, 12:1.539, 14:1.446, 2:1.219, 13:1.203, 11:1.01, 0:0.7255, 4:0.521",/scratch/gsunka1/TDA_guoji/PGNN_ALL_RESULTS_mar30age_VAE_L2_WEIGHTS/female_pgnn_target-AGE_l2_fw-age_c2_80pct_knn35_VAEz15/age/results_knn35_l2_fw-age_c2_K3200_p1000000.0_mu1.77e-18_VAEz15.csv,female_pgnn_target-AGE_l2_fw-age_c2_80pct_knn35_VAEz15
AGE,VAEz15,female_80pct,alm_c,10000,800,3.54E-13,35,l2,46.67051418,0.348888096,52,0.000815947,/scratch/gsunka1/TDA_guoji/PGNN_ALL_RESULTS_mar30age_VAE_L2_WEIGHTS/female_pgnn_target-AGE_l2_fw-alm_c_80pct_knn35_VAEz15/age/VAEz15_feature_weights_alm_power1_knn35.npy,15,"0:1.243, 3:1.228, 14:1.223, 2:1.217, 13:1.161, 12:1.137, 8:1.128, 5:1.094, 9:1.032, 1:0.9774",/scratch/gsunka1/TDA_guoji/PGNN_ALL_RESULTS_mar30age_VAE_L2_WEIGHTS/female_pgnn_target-AGE_l2_fw-alm_c_80pct_knn35_VAEz15/age/results_knn35_l2_fw-alm_c_K800_p10000.0_mu3.54e-13_VAEz15.csv,female_pgnn_target-AGE_l2_fw-alm_c_80pct_knn35_VAEz15
AGE,VAEz15,female_80pct,alm_c2,5,30,0.001732051,30,l2,47.09808889,0.336903072,46,0.000663292,/scratch/gsunka1/TDA_guoji/PGNN_ALL_RESULTS_mar30age_VAE_L2_WEIGHTS/female_pgnn_target-AGE_l2_fw-alm_c2_80pct_knn30_VAEz15/age/VAEz15_feature_weights_alm_power2_knn30.npy,15,"0:1.461, 3:1.427, 14:1.416, 2:1.402, 13:1.275, 12:1.223, 8:1.205, 5:1.132, 9:1.008, 1:0.9039",/scratch/gsunka1/TDA_guoji/PGNN_ALL_RESULTS_mar30age_VAE_L2_WEIGHTS/female_pgnn_target-AGE_l2_fw-alm_c2_80pct_knn30_VAEz15/age/results_knn30_l2_fw-alm_c2_K30_p5.0_mu0.00173_VAEz15.csv,female_pgnn_target-AGE_l2_fw-alm_c2_80pct_knn30_VAEz15
AGE,VAEz15,female_80pct,bfp_c,10,40,5.00E-05,2,l2,46.97958045,0.340235868,42,0.000571106,/scratch/gsunka1/TDA_guoji/PGNN_ALL_RESULTS_mar30age_VAE_L2_WEIGHTS/female_pgnn_target-AGE_l2_fw-bfp_c_80pct_knn2_VAEz15/age/VAEz15_feature_weights_bfp_power1_knn2.npy,15,"12:1.448, 7:1.438, 11:1.412, 8:1.402, 13:1.336, 5:1.274, 2:1.25, 14:1.23, 0:1.154, 9:0.9953",/scratch/gsunka1/TDA_guoji/PGNN_ALL_RESULTS_mar30age_VAE_L2_WEIGHTS/female_pgnn_target-AGE_l2_fw-bfp_c_80pct_knn2_VAEz15/age/results_knn2_l2_fw-bfp_c_K40_p10.0_mu5e-05_VAEz15.csv,female_pgnn_target-AGE_l2_fw-bfp_c_80pct_knn2_VAEz15
AGE,VAEz15,female_80pct,bfp_c2,1000000,3200,1.77E-18,10,l2,45.73123776,0.374832549,150,0.00505,/scratch/gsunka1/TDA_guoji/PGNN_ALL_RESULTS_mar30age_VAE_L2_WEIGHTS/female_pgnn_target-AGE_l2_fw-bfp_c2_80pct_knn10_VAEz15/age/VAEz15_feature_weights_bfp_power2_knn10.npy,15,"12:1.709, 7:1.686, 11:1.626, 8:1.602, 13:1.455, 5:1.324, 2:1.273, 14:1.234, 0:1.085, 9:0.8076",/scratch/gsunka1/TDA_guoji/PGNN_ALL_RESULTS_mar30age_VAE_L2_WEIGHTS/female_pgnn_target-AGE_l2_fw-bfp_c2_80pct_knn10_VAEz15/age/results_knn10_l2_fw-bfp_c2_K3200_p1000000.0_mu1.77e-18_VAEz15.csv,female_pgnn_target-AGE_l2_fw-bfp_c2_80pct_knn10_VAEz15
AGE,VAEz15,female_80pct,bmd_c,5,15,0.00244949,40,l2,46.91124678,0.342153761,48,0.000712282,/scratch/gsunka1/TDA_guoji/PGNN_ALL_RESULTS_mar30age_VAE_L2_WEIGHTS/female_pgnn_target-AGE_l2_fw-bmd_c_80pct_knn40_VAEz15/age/VAEz15_feature_weights_bmd_power1_knn40.npy,15,"14:1.273, 2:1.187, 3:1.183, 8:1.178, 5:1.163, 0:1.142, 12:1.099, 13:1.065, 1:1.06, 7:0.9889",/scratch/gsunka1/TDA_guoji/PGNN_ALL_RESULTS_mar30age_VAE_L2_WEIGHTS/female_pgnn_target-AGE_l2_fw-bmd_c_80pct_knn40_VAEz15/age/results_knn40_l2_fw-bmd_c_K15_p5.0_mu0.00245_VAEz15.csv,female_pgnn_target-AGE_l2_fw-bmd_c_80pct_knn40_VAEz15
AGE,VAEz15,female_80pct,bmd_c2,2,5,0.028284271,2,l2,46.99799982,0.339718401,48,0.000712282,/scratch/gsunka1/TDA_guoji/PGNN_ALL_RESULTS_mar30age_VAE_L2_WEIGHTS/female_pgnn_target-AGE_l2_fw-bmd_c2_80pct_knn2_VAEz15/age/VAEz15_feature_weights_bmd_power2_knn2.npy,15,"14:1.541, 2:1.34, 3:1.33, 8:1.319, 5:1.285, 0:1.24, 12:1.148, 13:1.077, 1:1.067, 7:0.9296",/scratch/gsunka1/TDA_guoji/PGNN_ALL_RESULTS_mar30age_VAE_L2_WEIGHTS/female_pgnn_target-AGE_l2_fw-bmd_c2_80pct_knn2_VAEz15/age/results_knn2_l2_fw-bmd_c2_K5_p2.0_mu0.0283_VAEz15.csv,female_pgnn_target-AGE_l2_fw-bmd_c2_80pct_knn2_VAEz15
AGE,VAEz15,female_80pct,none,100,200,7.07E-08,35,l2,46.14864962,0.363368034,107,0.002895606,,0,,/scratch/gsunka1/TDA_guoji/PGNN_ALL_RESULTS_mar30age_VAE_L2_WEIGHTS/female_pgnn_target-AGE_l2_fw-none_80pct_knn35_VAEz15/age/results_knn35_l2_fw-none_K200_p100.0_mu7.07e-08_VAEz15.csv,female_pgnn_target-AGE_l2_fw-none_80pct_knn35_VAEz15
AGE,VAEz15,male_80pct,age_c,2,5,0.028284271,20,l2,40.59446315,0.537029096,58,0.000985311,/scratch/gsunka1/TDA_guoji/PGNN_ALL_RESULTS_mar30age_VAE_L2_WEIGHTS/male_pgnn_target-AGE_l2_fw-age_c_80pct_knn20_VAEz15/age/VAEz15_feature_weights_age_power1_knn20.npy,15,"13:1.229, 5:1.225, 4:1.2, 12:1.169, 7:1.165, 2:1.142, 14:1.133, 0:1.113, 1:1.082, 9:1.038",/scratch/gsunka1/TDA_guoji/PGNN_ALL_RESULTS_mar30age_VAE_L2_WEIGHTS/male_pgnn_target-AGE_l2_fw-age_c_80pct_knn20_VAEz15/age/results_knn20_l2_fw-age_c_K5_p2.0_mu0.0283_VAEz15.csv,male_pgnn_target-AGE_l2_fw-age_c_80pct_knn20_VAEz15
