Task,Dataset,fw_source,p,Best_K,Best_mu,kNN_graph,edge_metrics,RelRMSE_orig_pct,R2,best_epoch,best_lr,source_file
AGE,female_80pct,age_c,10,80,3.54E-05,30,l2,33.80295641,0.658429937,101,0.00941544,/scratch/gsunka1/TDA_guoji/PGNN_ALL_RESULTS_ageonly/female_pgnn_target-AGE_l2_fw-age_c_80pct_knn30/age/results_knn30_l2_fw-age_c_K80_p10.0_mu3.54e-05.csv
AGE,female_80pct,age_c2,10000,400,5.00E-13,10,l2,33.65548936,0.661403658,43,0.008125733,/scratch/gsunka1/TDA_guoji/PGNN_ALL_RESULTS_ageonly/female_pgnn_target-AGE_l2_fw-age_c2_80pct_knn10/age/results_knn10_l2_fw-age_c2_K400_p10000.0_mu5e-13.csv
AGE,female_80pct,alm_c,100,100,1.00E-07,30,l2,34.47108457,0.644793943,77,0.008860906,/scratch/gsunka1/TDA_guoji/PGNN_ALL_RESULTS_ageonly/female_pgnn_target-AGE_l2_fw-alm_c_80pct_knn30/age/results_knn30_l2_fw-alm_c_K100_p100.0_mu1e-07.csv
AGE,female_80pct,alm_c2,5,15,0.00244949,40,l2,34.26454067,0.649037854,99,0.0093724,/scratch/gsunka1/TDA_guoji/PGNN_ALL_RESULTS_ageonly/female_pgnn_target-AGE_l2_fw-alm_c2_80pct_knn40/age/results_knn40_l2_fw-alm_c2_K15_p5.0_mu0.00245.csv
AGE,female_80pct,bfp_c,5,30,0.001732051,5,l2,33.23424142,0.669826662,76,0.008837042,/scratch/gsunka1/TDA_guoji/PGNN_ALL_RESULTS_ageonly/female_pgnn_target-AGE_l2_fw-bfp_c_80pct_knn5/age/results_knn5_l2_fw-bfp_c_K30_p5.0_mu0.00173.csv
AGE,female_80pct,bfp_c2,5,15,0.00244949,5,l2,33.81911543,0.658103295,72,0.008742016,/scratch/gsunka1/TDA_guoji/PGNN_ALL_RESULTS_ageonly/female_pgnn_target-AGE_l2_fw-bfp_c2_80pct_knn5/age/results_knn5_l2_fw-bfp_c2_K15_p5.0_mu0.00245.csv
AGE,female_80pct,bmd_c,100,100,1.00E-07,35,l2,33.76802207,0.659135556,92,0.009215503,/scratch/gsunka1/TDA_guoji/PGNN_ALL_RESULTS_ageonly/female_pgnn_target-AGE_l2_fw-bmd_c_80pct_knn35/age/results_knn35_l2_fw-bmd_c_K100_p100.0_mu1e-07.csv
AGE,female_80pct,bmd_c2,2,5,0.028284271,2,l2,33.54167115,0.663689969,55,0.008358838,/scratch/gsunka1/TDA_guoji/PGNN_ALL_RESULTS_ageonly/female_pgnn_target-AGE_l2_fw-bmd_c2_80pct_knn2/age/results_knn2_l2_fw-bmd_c2_K5_p2.0_mu0.0283.csv
AGE,female_80pct,none,5,15,0.00244949,40,l2,33.8292839,0.65789766,63,0.008533489,/scratch/gsunka1/TDA_guoji/PGNN_ALL_RESULTS_ageonly/female_pgnn_target-AGE_l2_fw-none_80pct_knn40/age/results_knn40_l2_fw-none_K15_p5.0_mu0.00245.csv
AGE,male_80pct,age_c,10,40,5.00E-05,10,l2,27.27417817,0.791011004,162,0.009961173,/scratch/gsunka1/TDA_guoji/PGNN_ALL_RESULTS_ageonly/male_pgnn_target-AGE_l2_fw-age_c_80pct_knn10/age/results_knn10_l2_fw-age_c_K40_p10.0_mu5e-05.csv
AGE,male_80pct,age_c2,2,10,0.02,25,l2,27.43011022,0.788614502,153,0.009997558,/scratch/gsunka1/TDA_guoji/PGNN_ALL_RESULTS_ageonly/male_pgnn_target-AGE_l2_fw-age_c2_80pct_knn25/age/results_knn25_l2_fw-age_c2_K10_p2.0_mu0.02.csv
AGE,male_80pct,alm_c,5,15,0.00244949,15,l2,27.01669166,0.794938365,153,0.009997558,/scratch/gsunka1/TDA_guoji/PGNN_ALL_RESULTS_ageonly/male_pgnn_target-AGE_l2_fw-alm_c_80pct_knn15/age/results_knn15_l2_fw-alm_c_K15_p5.0_mu0.00245.csv
AGE,male_80pct,alm_c2,3,10,0.01,40,l2,27.2482659,0.791407931,129,0.00988269,/scratch/gsunka1/TDA_guoji/PGNN_ALL_RESULTS_ageonly/male_pgnn_target-AGE_l2_fw-alm_c2_80pct_knn40/age/results_knn40_l2_fw-alm_c2_K10_p3.0_mu0.01.csv
AGE,male_80pct,bfp_c,10,40,5.00E-05,30,l2,27.93740342,0.780723457,162,0.009961173,/scratch/gsunka1/TDA_guoji/PGNN_ALL_RESULTS_ageonly/male_pgnn_target-AGE_l2_fw-bfp_c_80pct_knn30/age/results_knn30_l2_fw-bfp_c_K40_p10.0_mu5e-05.csv
AGE,male_80pct,bfp_c2,3,15,0.008164966,30,l2,27.24793306,0.791413012,162,0.009961173,/scratch/gsunka1/TDA_guoji/PGNN_ALL_RESULTS_ageonly/male_pgnn_target-AGE_l2_fw-bfp_c2_80pct_knn30/age/results_knn30_l2_fw-bfp_c2_K15_p3.0_mu0.00816.csv
AGE,male_80pct,bmd_c,2,5,0.028284271,40,l2,28.1778306,0.776933065,136,0.009947277,/scratch/gsunka1/TDA_guoji/PGNN_ALL_RESULTS_ageonly/male_pgnn_target-AGE_l2_fw-bmd_c_80pct_knn40/age/results_knn40_l2_fw-bmd_c_K5_p2.0_mu0.0283.csv
AGE,male_80pct,bmd_c2,100,200,7.07E-08,2,l2,27.60820139,0.78586074,230,0.008694905,/scratch/gsunka1/TDA_guoji/PGNN_ALL_RESULTS_ageonly/male_pgnn_target-AGE_l2_fw-bmd_c2_80pct_knn2/age/results_knn2_l2_fw-bmd_c2_K200_p100.0_mu7.07e-08.csv
AGE,male_80pct,none,1000000,3200,1.77E-18,25,l2,27.25720411,0.791271048,179,0.009780317,/scratch/gsunka1/TDA_guoji/PGNN_ALL_RESULTS_ageonly/male_pgnn_target-AGE_l2_fw-none_80pct_knn25/age/results_knn25_l2_fw-none_K3200_p1000000.0_mu1.77e-18.csv
AGE,penn_data_80pct,age_c,1000000,3200,1.77E-18,30,l2,30.61035048,0.731071483,122,0.009794675,/scratch/gsunka1/TDA_guoji/PGNN_ALL_RESULTS_ageonly/penn_data_pgnn_target-AGE_l2_fw-age_c_80pct_knn30/age/results_knn30_l2_fw-age_c_K3200_p1000000.0_mu1.77e-18.csv
AGE,penn_data_80pct,age_c2,5,30,0.001732051,25,l2,31.30721671,0.718687418,90,0.009169246,/scratch/gsunka1/TDA_guoji/PGNN_ALL_RESULTS_ageonly/penn_data_pgnn_target-AGE_l2_fw-age_c2_80pct_knn25/age/results_knn25_l2_fw-age_c2_K30_p5.0_mu0.00173.csv
AGE,penn_data_80pct,alm_c,100,200,7.07E-08,15,l2,32.05621153,0.705066147,66,0.008601889,/scratch/gsunka1/TDA_guoji/PGNN_ALL_RESULTS_ageonly/penn_data_pgnn_target-AGE_l2_fw-alm_c_80pct_knn15/age/results_knn15_l2_fw-alm_c_K200_p100.0_mu7.07e-08.csv
AGE,penn_data_80pct,alm_c2,10000,800,3.54E-13,20,l2,30.79612781,0.727797276,67,0.008624967,/scratch/gsunka1/TDA_guoji/PGNN_ALL_RESULTS_ageonly/penn_data_pgnn_target-AGE_l2_fw-alm_c2_80pct_knn20/age/results_knn20_l2_fw-alm_c2_K800_p10000.0_mu3.54e-13.csv
AGE,penn_data_80pct,bfp_c,1000000,1600,2.50E-18,2,l2,31.88233117,0.708257046,85,0.009051717,/scratch/gsunka1/TDA_guoji/PGNN_ALL_RESULTS_ageonly/penn_data_pgnn_target-AGE_l2_fw-bfp_c_80pct_knn2/age/results_knn2_l2_fw-bfp_c_K1600_p1000000.0_mu2.5e-18.csv
AGE,penn_data_80pct,bfp_c2,2,10,0.02,5,l2,31.040221,0.723465165,97,0.009328493,/scratch/gsunka1/TDA_guoji/PGNN_ALL_RESULTS_ageonly/penn_data_pgnn_target-AGE_l2_fw-bfp_c2_80pct_knn5/age/results_knn5_l2_fw-bfp_c2_K10_p2.0_mu0.02.csv
AGE,penn_data_80pct,bmd_c,3,10,0.01,40,l2,30.63961667,0.730557,112,0.009632961,/scratch/gsunka1/TDA_guoji/PGNN_ALL_RESULTS_ageonly/penn_data_pgnn_target-AGE_l2_fw-bmd_c_80pct_knn40/age/results_knn40_l2_fw-bmd_c_K10_p3.0_mu0.01.csv
AGE,penn_data_80pct,bmd_c2,3,15,0.008164966,10,l2,31.2603618,0.719528813,99,0.0093724,/scratch/gsunka1/TDA_guoji/PGNN_ALL_RESULTS_ageonly/penn_data_pgnn_target-AGE_l2_fw-bmd_c2_80pct_knn10/age/results_knn10_l2_fw-bmd_c2_K15_p3.0_mu0.00816.csv
AGE,penn_data_80pct,none,3,10,0.01,40,l2,31.31683085,0.71851461,116,0.009702314,/scratch/gsunka1/TDA_guoji/PGNN_ALL_RESULTS_ageonly/penn_data_pgnn_target-AGE_l2_fw-none_80pct_knn40/age/results_knn40_l2_fw-none_K10_p3.0_mu0.01.csv
