node,n_members,members
cube0_cluster0,7,10|88|97|126|188|199|267
cube1_cluster0,5,10|97|126|188|199
cube16_cluster0,7,27|96|99|111|156|180|244
cube18_cluster0,5,21|34|78|79|115
cube19_cluster0,6,35|48|87|106|166|256
cube20_cluster0,8,2|23|53|68|131|157|204|241
cube20_cluster1,6,3|94|108|113|136|253
cube27_cluster0,5,17|39|91|98|212
cube28_cluster0,8,30|74|110|114|134|173|200|207
cube30_cluster0,8,14|21|34|78|79|115|217|260
cube31_cluster0,7,8|29|64|68|86|205|268
cube32_cluster0,11,2|23|29|53|68|86|131|157|204|241|268
